Name,Type,Product,Activity,Location,Unit,Database
NG_Boiler,Construction,gas boiler,gas boiler production,RER,/unit,ecoinvent_3.8_REHO
NG_Boiler,Operation,"heat, central or small-scale, natural gas","heat production, natural gas, at boiler modulating <100kW",RoW,/MJ,ecoinvent_3.8_REHO
OIL_Boiler,Construction,"oil boiler, 10kW","oil boiler production, 10kW",CH,/unit,ecoinvent_3.8_REHO
OIL_Boiler,Operation,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW, non-modulating",CH,/MJ,ecoinvent_3.8_REHO
WOOD_Stove,Construction,"furnace, wood chips, hardwood storage area, 50kW","furnace production, wood chips, hardwood storage area, 50kW",CH,/unit,ecoinvent_3.8_REHO
WOOD_Stove,Operation,"heat, central or small-scale, other than natural gas","heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014",CH,/MJ,ecoinvent_3.8_REHO
HeatPump_Air,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW",CH,/unit,ecoinvent_3.8_REHO
HeatPump_Lake,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW",CH,/unit,ecoinvent_3.8_REHO
HeatPump_Geothermal,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW",CH,/unit,ecoinvent_3.8_REHO
HeatPump_DHN,Construction,"heat pump, 30kW","heat pump production, 30kW",RER,/unit,ecoinvent_3.8_REHO
HeatPump_Anergy,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW",CH,/unit,ecoinvent_3.8_REHO
HeatPump_Air,Operation,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW",CH,/MJ,ecoinvent_3.8_REHO
HeatPump_Lake,Operation,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW",CH,/MJ,ecoinvent_3.8_REHO
HeatPump_Geothermal,Operation,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW",CH,/MJ,ecoinvent_3.8_REHO
HeatPump_DHN,Operation,"heat, central or small-scale, other than natural gas","heat production, at heat pump 30kW, allocation exergy",CH,/MJ,ecoinvent_3.8_REHO
