,Ambient_Heat,Biogas,Electricity,Electricity_stored,Heat,Hydrogen,NaturalGas,Oil,Solar,Water,Water_stored,Wood,CONSTRUCTION,OWN_CONSTRUCTION,DECOMMISSIONING,TRANSPORT_FUEL,PROCESS_FUEL
NG_Boiler,0,0,0.0,0,0,0,0.028650138,0.0,0,0,0,0.0,0,6.864e-07,0,0,0
OIL_Boiler,0,0,0.0,0,0,0,0.0,0.0249148936170213,0,0,0,0.0,0,7.03595744680851e-07,0,0,0
WOOD_Stove,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.06988007054673724,0,1.38888888888889e-07,0,0,0
HeatPump_Air,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_Lake,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_Geothermal,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_DHN,0,0,0.0617,0,0,0,0.0,0.0,0,0,0,0.0,0,3.47e-08,0,0,0
HeatPump_Anergy,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
Air_Conditioner_Air,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
Air_Conditioner_DHN,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
ElectricalHeater_SH,0,0,1.0149861558730695,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
ElectricalHeater_DHW,0,0,1.0149861558730695,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
PV,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,1.2051e-05,0,0,0
NG_Cogeneration,0,0,0.0,0,0,0,0.237685294342438,0.0,0,0,0,0.0,0,4.6441329661568994e-07,0,0,0
NG_Cogeneration_district,0,0,0.0,0,0,0,0.237685294342438,0.0,0,0,0,0.0,0,4.6441329661568994e-07,0,0,0
HeatPump_Geothermal_district,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
NG_Boiler_district,0,0,0.0,0,0,0,0.028650138,0.0,0,0,0,0.0,0,6.864e-07,0,0,0
