Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,0,0.0,0.0,0.0,10
Battery_Building3,0,0.0,0.0,0.0,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,1,3.53544392078,45.09869723043025,0.00176772196,20
DHN_hex_in_Building2,1,4.20194976602,51.82402538580287,0.00210097488,20
DHN_hex_in_Building3,1,2.27197756815,32.34978303051286,0.00113598878,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,17.6772196039,5165.214227847353,0.00294620327,60
DHN_pipes_Building2,1,21.00974883009,6133.046985232184,0.00350162481,60
DHN_pipes_Building3,1,11.35988784077,3330.5354584683587,0.00189331464,60
EV_district,0,0.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building3,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building3,0,0.0,0.0,0.0,20
HeatPump_Air_Building1,1,66.30377958888,5231.998075157107,457.66183861227,20
HeatPump_Air_Building2,1,9.85374697624,1646.667755478058,68.01548850347,20
HeatPump_Air_Building3,1,11.57773211295,1756.1638158920016,79.91529590962,20
HeatPump_DHN_Building1,0,0.0,0.0,0.0,20
HeatPump_DHN_Building2,0,0.0,0.0,0.0,20
HeatPump_DHN_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building1,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_district,0,0.0,0.0,0.0,25
NG_Boiler_Building1,1,271.11778178479,1008.3108791912143,157.51943121696,20
NG_Boiler_Building2,0,0.0,0.0,0.0,20
NG_Boiler_Building3,0,0.0,0.0,0.0,20
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_district,0,0.0,0.0,0.0,25
OIL_Boiler_Building1,0,0.0,0.0,0.0,20
OIL_Boiler_Building2,0,0.0,0.0,0.0,20
OIL_Boiler_Building3,0,0.0,0.0,0.0,20
PV_Building1,1,66.0,4730.514810476908,2640.0,25
PV_Building2,1,160.0,10989.652385082543,6400.0,25
PV_Building3,1,44.0,3265.6102717394183,1760.0,25
ThermalSolar_Building1,0,0.0,0.0,0.0,20
ThermalSolar_Building2,0,0.0,0.0,0.0,20
ThermalSolar_Building3,0,0.0,0.0,0.0,20
WaterTankDHW_Building1,1,14.58761723803,7682.497290286268,878.1745577295,20
WaterTankDHW_Building2,1,1.50445353143,815.0523864259776,90.568102592,20
WaterTankDHW_Building3,1,0.70716569888,396.5503799279394,42.57137507249,20
WaterTankSH_Building1,1,6.27247347186,713.4142523239192,377.60290300576,20
WaterTankSH_Building2,1,0.93218466413,167.99157591377855,56.11751678082,20
WaterTankSH_Building3,1,1.09527719224,184.64879547303147,65.93568697258,20
