CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,HTXCS,HTXNCS,FWEXL,HTXCL,HTXNCL,MEU,OLD,FWA,PMF,TRA,FWEU,IREQ,IRHH,LOBDV,LTBDV,TPW,WAVFWES,WAVHH,WAVTES,TTHH,TTEQ
HTXCS,HTXCS,HTXCS,HTXCS,HTXCS,HTXCS,HTXCS,HTXCS,CCEQL,,CCEQL,,,HTXCS,HTXCS,HTXCS,HTXCS,HTXCS,TTHH,CCEQL,CCEQL,CCEQL,HTXCS,CCEQL,CCEQL,CCEQL,,CCEQL,HTXCS
FWEXL,FWEXL,FWEXL,FWEXL,FWEXL,FWEXL,FWEXL,FWEXL,CCEQS,,CCEQS,,,FWEXL,FWEXL,IREQ,IREQ,IREQ,,CCEQS,CCEQS,CCEQS,FWEXL,CCEQS,CCEQS,CCEQS,,CCEQS,FWEXL
IREQ,IREQ,IREQ,IREQ,IREQ,IREQ,IREQ,IREQ,CCHHL,,CCHHL,,,IREQ,IREQ,IRHH,IRHH,IRHH,,CCHHL,CCHHL,CCHHL,IREQ,CCHHL,CCHHL,CCHHL,,CCHHL,IREQ
IRHH,IRHH,IRHH,IRHH,IRHH,IRHH,IRHH,IRHH,CCHHS,,CCHHS,,,IRHH,IRHH,LOBDV,LOBDV,LOBDV,,CCHHS,CCHHS,CCHHS,IRHH,CCHHS,CCHHS,CCHHS,,CCHHS,IRHH
LOBDV,LOBDV,LOBDV,LOBDV,LOBDV,LOBDV,LOBDV,LOBDV,MAL,,MAL,,,LOBDV,LOBDV,TPW,TPW,TPW,,MAL,MAL,MAL,LOBDV,MAL,MAL,MAL,,MAL,LOBDV
TPW,TPW,TPW,TPW,TPW,TPW,TPW,TPW,MAS,,MAS,,,TPW,TPW,WAVFWES,WAVFWES,WAVFWES,,MAS,MAS,MAS,TPW,MAS,MAS,MAS,,MAS,TPW
WAVFWES,WAVFWES,WAVFWES,WAVFWES,WAVFWES,WAVFWES,WAVFWES,WAVFWES,PCOX,,PCOX,,,WAVFWES,WAVFWES,WAVHH,WAVHH,WAVHH,,PCOX,PCOX,PCOX,WAVFWES,PCOX,PCOX,PCOX,,PCOX,WAVFWES
WAVHH,WAVHH,WAVHH,WAVHH,WAVHH,WAVHH,WAVHH,WAVHH,FWEXS,,FWEXS,,,WAVHH,WAVHH,TTHH,TTHH,TTHH,,FWEXS,FWEXS,FWEXS,WAVHH,FWEXS,FWEXS,FWEXS,,FWEXS,WAVHH
TTHH,TTHH,TTHH,TTHH,TTHH,TTHH,TTHH,TTHH,MEU,,MEU,,,TTHH,TTHH,,,,,MEU,MEU,MEU,TTHH,MEU,MEU,MEU,,MEU,TTHH
,,,,,,,,OLD,,OLD,,,,,,,,,OLD,OLD,OLD,,OLD,OLD,OLD,,OLD,
,,,,,,,,FWA,,LTBDV,,,,,,,,,FWA,FWA,FWA,,FWA,FWA,FWA,,FWA,
,,,,,,,,PMF,,TTEQ,,,,,,,,,PMF,PMF,PMF,,PMF,PMF,PMF,,PMF,
,,,,,,,,TRA,,,,,,,,,,,TRA,TRA,TRA,,TRA,TRA,TRA,,TRA,
,,,,,,,,LTBDV,,,,,,,,,,,LTBDV,LTBDV,LTBDV,,LTBDV,LTBDV,LTBDV,,FWEU,
,,,,,,,,TTEQ,,,,,,,,,,,TTEQ,TTEQ,TTEQ,,TTEQ,TTEQ,TTEQ,,LTBDV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TTEQ,
