,CCEQL,CCEQS,CCHHL,CCHHS,MAL,MAS,PCOX,FWEXS,HTXCS,HTXNCS,FWEXL,HTXCL,HTXNCL,MEU,OLD,FWA,PMF,TRA,FWEU,IREQ,IRHH,LOBDV,LTBDV,TPW,WAVFWES,WAVHH,WAVTES,TTHH,TTEQ
CCEQL,7921.31197551098,2512.19925594408,0.03603880816,0.01161321549,1839.81656072963,200.12927905457,2.20938e-06,463.16091002451,0.0081845229,0.0108232519,3539.19778671258,0.00024877176,0.01011609489,31.48694014353,4.73641e-06,183.99438821032,0.01105455635,1181.32506047445,3.2499153076,1.94049e-05,0.00021731884,320.8997920615,479.86863287995,0.0889975305,0.25210818319,0.09362524399,0.64638367545,0.18219768126,18677.62328136524
CCEQS,7927.93839643706,2509.99321475742,0.03606916113,0.01160302973,1841.32991107654,200.29433409566,2.21201e-06,464.62829628737,0.00818951584,0.0109041362,3562.76194445914,0.00025073886,0.01018219339,31.55124007078,4.65628e-06,184.86267161908,0.01109306251,1186.72859726727,3.26513042159,1.946783e-05,0.00021819872,322.08054674375,480.08516980876,0.08920932613,0.25279937264,0.09388521156,0.64766250447,0.18267255754,18716.50441771591
CCHHL,7995.62293257892,2542.43168269915,0.03637331559,0.01175318972,1855.32936823031,201.81672492747,2.20898e-06,461.45118761979,0.0084264409,0.01048182753,3490.11473549451,0.00024198674,0.00986710588,31.37427523895,4.85024e-06,181.11225545772,0.01095727266,1164.47110692483,3.1721481023,2.16448e-05,0.00024868913,333.17279186314,478.02950860024,0.09400928211,0.27347785325,0.10165522178,0.64534943731,0.19032608719,18739.10650613105
CCHHS,7995.3840662168,2542.36986981193,0.0363722313,0.01175290319,1855.27561293611,201.81086709103,2.20894e-06,461.43225834326,0.00842463856,0.01048111091,3489.835899935,0.00024196606,0.00986642611,31.37338055097,4.85e-06,181.10354531436,0.01095672993,1164.41528867286,3.17208004334,2.164193e-05,0.00024864879,333.1393076835,478.02296517715,0.09400183297,0.2734486737,0.10164426051,0.64533098311,0.19030989093,18738.34287540268
MAL,7921.43393338635,2511.74503363524,0.03603934835,0.011611119,1839.81566503016,200.1292076053,2.20922e-06,463.20184904112,0.0081855955,0.01082463187,3540.1504965305,0.00024881894,0.01011743807,31.48824612745,4.72719e-06,184.00232634001,0.01105527548,1181.38195101596,3.25003098107,1.943655e-05,0.00021776156,321.11907172995,479.70720949653,0.08907255081,0.25241478465,0.09374050442,0.6464377709,0.18231705795,18678.4082372281
MAS,7921.43407219916,2511.74507950847,0.03603934898,0.01161111921,1839.81569607112,200.129210981,2.20922e-06,463.20185636321,0.00818559574,0.01082463202,3540.15057565023,0.00024881895,0.01011743821,31.4882464251,4.72719e-06,184.00232920041,0.01105527562,1181.38196984936,3.2500310005,1.943656e-05,0.00021776159,321.11908649911,479.70721701348,0.0890725554,0.25241480318,0.09374051139,0.6464377768,0.18231706648,18678.40858709832
PCOX,7995.73384340666,2542.45905568497,0.03637381814,0.0117533165,1855.35380065139,201.81938350161,2.19903e-06,461.45790716617,0.00842670904,0.01048198428,3490.19817987179,0.00024199177,0.00986725984,31.37454810593,4.85011e-06,181.11481740003,0.01095740918,1164.48795731541,3.17216682037,2.164673e-05,0.00024871613,333.1879459335,478.03260304083,0.09401395794,0.27349673657,0.10166231794,0.64535534127,0.19033459935,18739.40002648954
FWEXS,7987.97785218565,2550.0148232513,0.03633852086,0.0117881708,1853.89920566629,201.65865400962,2.21163e-06,459.99239770286,0.0082982152,0.01041752906,3462.46241892875,0.00024012825,0.00980741022,31.31161924138,5.02027e-06,180.55689967914,0.01091644461,1160.90056747248,3.16695243879,2.11969e-05,0.00024241297,329.21448848954,480.55049117415,0.09290058458,0.26904745289,0.09999002705,0.64359460374,0.18835019966,18702.7069090917
HTXCS,7996.34980513569,2542.73707328176,0.03637659357,0.01175459992,1855.48630824255,201.83370824219,2.20913e-06,461.44553028383,0.00841710472,0.01047912884,3489.5420983193,0.00024192049,0.0098646809,31.37303907937,4.84803e-06,181.09900754333,0.01095578238,1164.39601692451,3.17199704369,2.166095e-05,0.00024891549,333.21148947342,478.09748851961,0.09404473665,0.2736283233,0.10171179231,0.64532297186,0.19037185214,18739.75150680476
HTXNCS,7995.22301297076,2542.30493435436,0.03637150356,0.01175260312,1855.24019901543,201.80702729366,2.20891e-06,461.42979118961,0.00842576784,0.01048140867,3489.8795747147,0.00024197287,0.00986668728,31.3734110935,4.8502e-06,181.10399590066,0.01095686511,1164.41666986185,3.1720915078,2.163906e-05,0.00024860867,333.12836771552,478.00950619778,0.09399537389,0.27342163813,0.10163409797,0.64533201867,0.19030043714,18738.09628351118
FWEXL,9671.30951072075,3802.60716596959,0.0439712982,0.01757724944,2260.70992670338,245.80349019263,2.959e-06,492.3518869879,0.00759426124,0.00967274884,3091.06946978327,0.00022083101,0.00921032004,32.88473846822,1.855497e-05,200.72848600441,0.01127877411,1292.03423046039,3.21648348301,1.023099e-05,8.812119e-05,255.95894964721,790.31170587638,0.06696438271,0.16263527997,0.05994909885,0.63689577827,0.15960558033,22139.84778831106
HTXCL,7996.21801106819,2542.62894953055,0.0363760128,0.01175410271,1855.46287346613,201.83124713026,2.20912e-06,461.48441989158,0.00842795168,0.01048259396,3490.49495316161,0.00024201097,0.00986785975,31.37567673962,4.85064e-06,181.12581776573,0.01095797598,1164.55980229836,3.17224274697,2.165242e-05,0.00024879594,333.23664110651,478.06151561703,0.09402795605,0.27355291744,0.10168342592,0.64537709362,0.19036192058,18740.66005920786
HTXNCL,7995.66455108715,2542.44436710438,0.03637350423,0.01175324844,1855.33865671885,201.81773544392,2.209e-06,461.45359590409,0.00842655075,0.01048188459,3490.14330356687,0.00024198855,0.00986716187,31.37437610669,4.85024e-06,181.11322318588,0.01095732368,1164.47744078692,3.17215498207,2.164539e-05,0.00024869737,333.1776512286,478.03140252048,0.09401071895,0.27348363496,0.10165739427,0.64535148849,0.19032880288,18739.21625621619
MEU,7973.8001611068,2535.3656565367,0.03627412585,0.01172049109,1850.23094080844,201.26074777513,2.20262e-06,460.03663605969,0.00831748803,0.01043667737,3473.76660854915,0.00024071394,0.0098247825,31.30913479448,4.83222e-06,180.45146135801,0.01091972404,1160.25318659871,3.16753771903,2.154226e-05,0.00024726098,331.63158627316,476.5038895324,0.09372126851,0.27240427236,0.10125228084,0.64409835672,0.18955253445,18678.78273618267
OLD,7995.81131256698,2542.78260939381,0.03637417235,0.01175481082,1855.38449943792,201.82268554049,2.2092e-06,461.44112116408,0.0084261574,0.01048127459,3489.74974809033,0.00024196882,0.00986659261,31.37406221793,4.85599e-06,181.11241745357,0.01095708746,1164.47049915342,3.17211794573,2.163276e-05,0.00024852016,333.09131059328,478.1287677963,0.09398065517,0.27336097539,0.10161127831,0.64532943893,0.19028264075,18739.34877551901
FWA,7971.56941234942,2528.93727102677,0.0362638739,0.01169080514,1849.40798180061,201.1715407095,2.19797e-06,460.3115067079,0.00832346174,0.01044813007,3482.4945120057,0.00024111625,0.00983591026,31.31643001916,4.72307e-06,180.46170933648,0.01092406965,1160.3770955563,3.16836847701,2.185604e-05,0.00025166647,333.77167204264,474.45055120302,0.09446518107,0.27545089536,0.10239766916,0.64456684992,0.19070239066,18678.4474637741
PMF,7995.05089798701,2542.24166975291,0.03637072363,0.01175231043,1855.20143732051,201.8028128685,2.20886e-06,461.4212194096,0.00842550508,0.01048125366,3489.79335933516,0.00024196771,0.00986653096,31.37306001822,4.85002e-06,181.10057623618,0.01095670283,1164.3941708191,3.17206905683,2.163702e-05,0.00024858012,333.11232690803,477.99820184314,0.09399042441,0.27340166167,0.10162659218,0.64532540986,0.19029104829,18737.66947203086
TRA,7972.22707729069,2532.39351870352,0.03626698757,0.01170676204,1849.77961378719,201.21201725395,2.20096e-06,460.14634161201,0.00832815261,0.01044301077,3477.27729617492,0.00024091056,0.00983074116,31.31281082642,4.78551e-06,180.46379938376,0.01092269611,1160.34192821408,3.1679712204,2.163454e-05,0.00024855592,332.31622308703,475.66979972662,0.09394321331,0.27330516698,0.10159097416,0.6443036499,0.18989979217,18677.31490550166
FWEU,8006.91639380357,2560.97904836615,0.03642437009,0.01183885878,1858.33899298816,202.14082876038,2.21828e-06,460.60883989215,0.00830601407,0.01042016939,3464.24092904574,0.00024025208,0.00981105753,31.33838790888,5.11439e-06,180.84820159296,0.01092647586,1162.80765939154,3.16833878882,2.122642e-05,0.00024282199,329.52529086725,483.05282079608,0.09297644741,0.26934301664,0.10010071218,0.64386913914,0.18862233122,18744.96690332833
IREQ,7995.77377505502,2542.47874683385,0.03637399983,0.01175340757,1855.36356010868,201.82044320618,2.20901e-06,461.45941641247,0.00842697327,0.0104819947,3490.20131573358,0.00024199256,0.00986728636,31.37459418625,4.85025e-06,181.11539725661,0.01095745893,1164.49169974836,3.17217065414,2.164456e-05,0.0002487129,333.18748255238,478.03811271599,0.0940135015,0.27349467864,0.1016615428,0.64535607299,0.1903344409,18739.4845302921
IRHH,7995.41692497862,2542.37950390862,0.03637238228,0.0117529481,1855.28401173413,201.81179044926,2.20895e-06,461.43919162668,0.00842604939,0.01048157241,3489.9706801273,0.00024197835,0.00986685313,31.37379766095,4.85047e-06,181.10778629135,0.0109570421,1164.44159772557,3.17211598265,2.164119e-05,0.0002486286,333.14527042128,478.02326426213,0.09400056664,0.27344258646,0.10164196862,0.64533910791,0.19031039707,18738.57366975705
LOBDV,9545.94529174159,3743.6326818123,0.04340774662,0.01730431271,2234.74319959256,242.98354904822,2.96518e-06,497.12040215727,0.00734706766,0.01038848517,3211.47323539855,0.00023567741,0.00974807043,33.16633723643,1.825667e-05,206.85314983124,0.01151321524,1328.20274013149,3.36183283076,6.30042e-06,3.301332e-05,235.94955009878,792.30151207051,0.05825244206,0.12525967406,0.0459046105,0.6406292798,0.14584636144,22076.55349454852
LTBDV,7973.68481523169,2526.28287688913,0.0362733866,0.01167855711,1849.70110154838,201.20367822408,2.19679e-06,460.6479794033,0.00832884822,0.01045850233,3489.38112346877,0.00024146328,0.00984585648,31.32724257525,4.65846e-06,180.54229880685,0.0109297996,1160.9353841484,3.16923920071,2.207917e-05,0.00025479185,335.30675064842,473.4648410507,0.09499531931,0.27761535579,0.10321134188,0.64496943565,0.19155291938,18686.65981396714
TPW,8076.28757997501,2636.96146739335,0.03674208707,0.0121897528,1878.05280438646,204.27897955499,2.28737e-06,465.794362819,0.00809703654,0.01075592138,3491.04359610709,0.00024666954,0.01005651286,31.6277819514,6.15138e-06,186.04027872068,0.01108769526,1194.3717558862,3.25798959609,1.75978e-05,0.00019192193,308.91906650222,512.50527838708,0.08474460744,0.23459904328,0.08703964664,0.64502174281,0.17664157424,18990.1007223469
WAVFWES,9404.10884114983,3644.28193488736,0.04276563259,0.01684512751,2201.41297660406,239.36992892463,2.90693e-06,494.93217918606,0.00771356283,0.01050894361,3247.34766285507,0.00023864178,0.00985187585,33.09461298783,1.730894e-05,205.72378927506,0.01153306836,1320.49100707385,3.36379265202,6.29626e-06,3.302894e-05,238.16983813869,769.06676344142,0.05834941097,0.12545329007,0.04597957975,0.64193485647,0.14543756836,21802.18505186774
